machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,runs,eval_avg_ms,eval_min_ms,eval_max_ms,speedup_vs_single_thread,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_avg_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,4,48,0.375,False,3,384.9773333333333,373.145,393.281,5.494262865692526,146.7506527777778,197.86033333333333,3522.015666666666,65.91816666666666
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,4,64,0.5,False,3,377.79266666666666,366.779,392.32,5.5987499316203415,168.15644722222223,227.75066666666666,4035.754733333333,70.79676666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,4,96,0.75,False,3,341.47433333333333,330.268,356.07,6.194218599152888,253.14661111111113,276.61400000000003,6075.518666666668,64.4315
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,6,6,0.046875,False,3,2056.0533333333333,2045.43,2074.14,1.0626523955280018,83.04014305555556,107.792,1992.9634333333333,62.2847
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,6,12,0.09375,False,3,1085.1933333333334,1080.63,1087.87,2.013346316171005,85.64357638888889,111.67999999999999,2055.445833333333,57.001133333333335
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,6,18,0.140625,False,3,788.6173333333334,774.451,802.415,2.7705071999431916,90.87003888888889,119.227,2180.880933333333,61.1047
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,6,24,0.1875,False,3,645.5686666666667,624.57,669.804,3.384411469784262,96.17396388888889,124.43833333333333,2308.175133333333,60.65423333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,6,36,0.28125,False,3,484.78866666666664,476.191,497.779,4.506850407669046,104.10535416666667,137.81633333333335,2498.5285,60.05303333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,6,48,0.375,False,3,412.621,405.34,423.086,5.295101315735263,115.13229166666666,141.25666666666666,2763.1749999999997,61.3116
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,6,72,0.5625,False,3,365.04266666666666,351.704,375.515,5.985245560336326,144.27080555555557,188.60366666666667,3462.4993333333337,59.4915
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,6,96,0.75,False,3,371.01266666666663,369.019,373.518,5.888936406483876,174.00590277777778,226.642,4176.141666666666,58.040366666666664
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,6,144,1.125,True,3,448.4546666666667,405.454,521.148,4.871997466856553,376.1266111111111,389.416,9027.038666666667,58.53673333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,8,8,0.0625,False,3,1641.73,1612.57,1661.7,1.0481869734974691,65.69937777777778,91.21166666666667,1576.7850666666666,64.0537
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,8,16,0.125,False,3,925.3206666666666,873.344,954.569,1.859722863641505,71.61869027777777,97.9979,1718.8485666666668,49.04066666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,8,24,0.1875,False,3,663.495,631.216,686.651,2.5935990474683304,75.39240416666667,112.064,1809.4177,49.1054
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,8,32,0.25,False,3,540.396,537.335,543.808,3.184405510033383,81.08384583333333,122.208,1946.0123,46.28756666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,8,48,0.375,False,3,432.69166666666666,422.421,439.206,3.9770583363827203,91.6448986111111,132.74033333333333,2199.477566666667,50.6919
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,8,64,0.5,False,3,388.45099999999996,373.955,399.582,4.430005328857437,103.98447916666666,156.70966666666666,2495.6275,47.26743333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,8,96,0.75,False,3,368.99033333333335,360.993,384.101,4.66364520841106,150.37809722222224,202.76,3609.074333333333,45.35443333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,8,128,1.0,False,3,419.654,395.985,461.087,4.100616221935213,212.8026986111111,282.2513333333333,5107.264766666666,45.184666666666665
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,8,192,1.5,True,3,1354.7043333333334,981.523,1675.83,1.2702697981084679,1297.562861111111,1307.1916666666666,31141.508666666665,46.96006666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,12,12,0.09375,False,3,1704.4533333333334,1589.46,1834.58,0.9573411611934227,68.38030277777777,95.5574,1641.1272666666666,62.42786666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,12,24,0.1875,False,3,888.164,873.667,909.327,1.8372094943426365,69.32059444444444,95.84570000000001,1663.6942666666666,44.940400000000004
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,12,36,0.28125,False,3,646.3936666666667,636.898,658.148,2.5243801378004425,73.62959166666667,102.134,1767.1102,49.4387
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,12,48,0.375,False,3,535.8993333333333,531.856,540.741,3.044869123429898,78.92789166666667,106.62166666666667,1894.2694000000001,54.24373333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,12,72,0.5625,False,3,442.2953333333333,429.082,460.029,3.689261926043383,92.46120972222222,134.80766666666665,2219.069033333333,48.104600000000005
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,12,96,0.75,False,3,391.43966666666665,387.013,396.642,4.168569187759033,107.9085125,147.30566666666667,2589.8042999999993,52.293600000000005
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,12,144,1.125,True,3,370.5203333333333,355.976,392.728,4.403923851232636,153.5669861111111,210.37733333333333,3685.607666666666,45.887366666666665
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,12,192,1.5,True,3,405.71233333333333,353.114,481.789,4.021921936478802,202.9964138888889,271.863,4871.913933333332,47.29743333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,12,288,2.25,True,3,1259.7066666666667,1126.53,1465.05,1.2953359512267406,1202.9573611111111,1209.53,28870.976666666666,49.71703333333333
