machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,mode,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,16,2,32,0.500000,False,manual-parallel,1,463.222000,197.271042,244.341000,4734.505000,87.671000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,16,2,32,0.500000,False,manual-parallel,2,447.469000,198.842833,260.310000,4772.228000,86.856800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,16,2,32,0.500000,False,manual-parallel,3,447.027000,194.318083,238.043000,4663.634000,86.040000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,2,48,0.750000,False,manual-parallel,1,367.444000,258.484875,278.854000,6203.637000,88.180600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,2,48,0.750000,False,manual-parallel,2,381.614000,271.910875,292.713000,6525.861000,88.401700
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,2,48,0.750000,False,manual-parallel,3,387.143000,263.476917,300.299000,6323.446000,86.495000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,3,3,0.046875,False,single-thread,1,2618.430000,106.079071,128.062000,2545.897700,72.058600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,3,3,0.046875,False,single-thread,2,2541.160000,102.856433,127.561000,2468.554400,72.111900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,3,3,0.046875,False,single-thread,3,2606.430000,105.515658,128.333000,2532.375800,73.560800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,3,3,0.046875,False,manual-parallel,1,2528.050000,101.959067,124.595000,2447.017600,80.281600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,3,3,0.046875,False,manual-parallel,2,2524.340000,101.883392,124.785000,2445.201400,78.372900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,3,3,0.046875,False,manual-parallel,3,2557.640000,103.199417,126.015000,2476.786000,80.052100
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,3,6,0.093750,False,manual-parallel,1,1323.070000,103.425167,128.066000,2482.204000,81.491200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,3,6,0.093750,False,manual-parallel,2,1334.240000,104.405500,129.127000,2505.732000,80.818600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,3,6,0.093750,False,manual-parallel,3,1398.640000,107.147967,130.667000,2571.551200,81.555000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,3,3,9,0.140625,False,manual-parallel,1,961.796000,109.130500,153.896000,2619.132000,73.146400
