machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,mode,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,2,2,0.015625,False,manual-parallel,3,3107.420000,125.818417,148.596000,3019.642000,87.003100
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,2,4,0.031250,False,manual-parallel,1,1595.920000,125.691458,153.541000,3016.595000,86.998600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,2,4,0.031250,False,manual-parallel,2,1762.890000,134.103417,178.045000,3218.482000,87.819500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,2,4,0.031250,False,manual-parallel,3,1598.640000,125.918333,156.166000,3022.040000,86.948800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,2,6,0.046875,False,manual-parallel,1,1108.050000,127.362167,157.853000,3056.692000,87.066900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,2,6,0.046875,False,manual-parallel,2,1156.960000,131.247000,192.809000,3149.928000,86.732800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,2,6,0.046875,False,manual-parallel,3,1141.000000,129.642833,180.514000,3111.428000,86.769300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,2,8,0.062500,False,manual-parallel,1,996.473000,140.071625,191.923000,3361.719000,101.464000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,2,8,0.062500,False,manual-parallel,2,873.179000,130.782750,159.928000,3138.786000,87.742300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,2,8,0.062500,False,manual-parallel,3,965.612000,136.317750,186.496000,3271.626000,88.183300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,2,12,0.093750,False,manual-parallel,1,718.702000,146.705667,190.622000,3520.936000,85.897200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,2,12,0.093750,False,manual-parallel,2,668.652000,141.282958,191.066000,3390.791000,85.771200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,2,12,0.093750,False,manual-parallel,3,697.856000,143.314625,192.844000,3439.551000,86.823300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,2,16,0.125000,False,manual-parallel,1,542.689000,148.546792,176.003000,3565.123000,87.909000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,2,16,0.125000,False,manual-parallel,2,539.463000,148.735292,170.869000,3569.647000,86.960800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,2,16,0.125000,False,manual-parallel,3,536.811000,148.409250,172.189000,3561.822000,86.476300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,2,24,0.187500,False,manual-parallel,1,460.717000,177.090625,230.166000,4250.175000,86.866300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,2,24,0.187500,False,manual-parallel,2,470.429000,176.823458,227.437000,4243.763000,87.632800
